Regiao,Ano,Quantidade,Tipo_Crime
Fercal,2021,0,LCSM (Lesão Corporal Seguida de Morte)
Fercal,2021,0,Latrocínio
Fercal,2021,9,Roubo a Transeunte
Fercal,2021,1,Roubo de Veículo
Fercal,2021,0,Roubo em Comércio
Fercal,2021,0,Roubo em Transporte Coletivo
Fercal,2022,7,Furto em Veículo
Fercal,2022,4,Homicídio
Fercal,2022,0,LCSM (Lesão Corporal Seguida de Morte)
Fercal,2022,0,Latrocínio
Fercal,2022,6,Roubo a Transeunte
Fercal,2022,8,Roubo de Veículo
Fercal,2022,0,Roubo em Comércio
Fercal,2022,0,Roubo em Transporte Coletivo
Fercal,2023,7,Furto em Veículo
Fercal,2023,2,Homicídio
Fercal,2023,0,LCSM (Lesão Corporal Seguida de Morte)
Fercal,2023,2,Latrocínio
Fercal,2023,5,Roubo a Transeunte
Fercal,2023,4,Roubo de Veículo
Fercal,2023,1,Roubo em Comércio
Fercal,2023,4,Roubo em Transporte Coletivo
Fercal,2024,4,Furto em Veículo
Fercal,2024,3,Homicídio
Fercal,2024,0,LCSM (Lesão Corporal Seguida de Morte)
Fercal,2024,1,Latrocínio
Fercal,2024,11,Roubo a Transeunte
Fercal,2024,5,Roubo de Veículo
Fercal,2024,2,Roubo em Comércio
Fercal,2024,0,Roubo em Transporte Coletivo
Gama,2015,516,Furto em Veículo
Gama,2015,38,Homicídio
Gama,2015,0,LCSM (Lesão Corporal Seguida de Morte)
Gama,2015,3,Latrocínio
Gama,2015,1784,Roubo a Transeunte
Gama,2015,224,Roubo de Veículo
Gama,2015,177,Roubo em Comércio
Gama,2015,50,Roubo em Transporte Coletivo
Gama,2016,434,Furto em Veículo
Gama,2016,40,Homicídio
Gama,2016,0,LCSM (Lesão Corporal Seguida de Morte)
Gama,2016,3,Latrocínio
Gama,2016,2040,Roubo a Transeunte
Gama,2016,355,Roubo de Veículo
Gama,2016,141,Roubo em Comércio
Gama,2016,42,Roubo em Transporte Coletivo
Gama,2017,411,Furto em Veículo
Gama,2017,38,Homicídio
Gama,2017,0,LCSM (Lesão Corporal Seguida de Morte)
Gama,2017,1,Latrocínio
Gama,2017,1857,Roubo a Transeunte
Gama,2017,259,Roubo de Veículo
Gama,2017,133,Roubo em Comércio
Gama,2017,28,Roubo em Transporte Coletivo
Gama,2018,389,Furto em Veículo
Gama,2018,25,Homicídio
Gama,2018,0,LCSM (Lesão Corporal Seguida de Morte)
Gama,2018,3,Latrocínio
Gama,2018,1877,Roubo a Transeunte
Gama,2018,194,Roubo de Veículo
Gama,2018,113,Roubo em Comércio
Gama,2018,17,Roubo em Transporte Coletivo
Gama,2019,384,Furto em Veículo
Gama,2019,17,Homicídio
Gama,2019,0,LCSM (Lesão Corporal Seguida de Morte)
Gama,2019,1,Latrocínio
Gama,2019,1690,Roubo a Transeunte
Gama,2019,177,Roubo de Veículo
Gama,2019,93,Roubo em Comércio
Gama,2019,11,Roubo em Transporte Coletivo
Gama,2020,279,Furto em Veículo
Gama,2020,16,Homicídio
Gama,2020,0,LCSM (Lesão Corporal Seguida de Morte)
Gama,2020,1,Latrocínio
Gama,2020,899,Roubo a Transeunte
Gama,2020,129,Roubo de Veículo
Gama,2020,61,Roubo em Comércio
Gama,2020,10,Roubo em Transporte Coletivo
Gama,2021,308,Furto em Veículo
Gama,2021,12,Homicídio
Gama,2021,0,LCSM (Lesão Corporal Seguida de Morte)
Gama,2021,2,Latrocínio
Gama,2021,816,Roubo a Transeunte
Gama,2021,94,Roubo de Veículo
